Time	Value
1390401293120	100.3999191388
1390401293140	101.1121235839
1390401293161	101.0206582895
1390401293181	101.357682602
1390401293201	100.4403382293
1390401293221	100.8261663965
1390401293241	100.4422371215
1390401293261	98.5489654443
1390401293281	100.269353881
1390401293302	101.3160718731
1390401293322	101.5587373688
1390401293342	99.7580451141
1390401293404	99.1500158287
1390401293405	103.961526941
1390401293407	108.9447158533
1390401293422	100.8310574605
1390401293442	98.3300738758
1390401293462	97.9482949837
1390401293482	100.1413747924
1390401293502	102.1542010582
1390401293522	100.3877577293
1390401293542	103.5425222064
1390401293563	96.7492945525
1390401293583	103.5338738202
1390401293603	98.395298935
1390401293623	95.7274999204
1390401293643	100.6669557611
1390401293663	100.3791973866
1390401293683	100.9619712601
1390401293704	98.8879441484
1390401293724	98.9974704213
1390401293744	97.8370945039
1390401293764	101.0100207157
1390401293785	106.7045940771
1390401293805	97.2163942172
1390401293825	99.3701432026
1390401293845	100.2556656576
1390401293872	97.6536229416
1390401293886	99.5314230784
1390401293905	102.5729952729
1390401293926	100.5829302161
1390401293946	87.7667476083
1390401293966	95.5486556548
1390401293987	114.0897973864
1390401294006	105.5409876457
1390401294027	92.778649529
1390401294047	102.900257071
1390401294067	102.5240333467
1390401294087	102.0436205878
1390401294107	100.2924012314
1390401294127	101.0411118432
1390401294147	101.1709336708
1390401294168	105.4792126282
1390401294188	102.3737648665
1390401294209	97.1011096663
1390401294228	99.0872288919
1390401294248	100.2327423091
1390401294270	100.5822940799
1390401294289	99.9255237761
1390401294310	101.2956666271
1390401294329	98.391988005
1390401294349	101.1056019715
1390401294369	102.428876109
1390401294389	102.2747491146
1390401294409	100.9150117426
1390401294429	101.0129676308
1390401294449	98.3542006309
1390401294470	102.8978735036
1390401294490	101.158287223
1390401294510	100.7982922713
1390401294530	100.543135203
1390401294550	100.8157696347
1390401294570	100.7065464291
1390401294590	97.811393281
1390401294611	100.6322646565
1390401294631	100.5065930053
1390401294651	101.783127734
1390401294671	99.3953808895
1390401294691	100.2542967699
1390401294711	99.6500538639
1390401294731	99.1727134748
1390401294752	99.3990395623
1390401294772	101.0032091117
1390401294792	100.2661731276
1390401294812	100.4047077033
1390401294832	98.3141843467
1390401294852	101.3579276274
1390401294873	100.6264911233
1390401294893	100.9874594933
1390401294913	100.8172957222
1390401294933	98.2591772745
1390401294953	100.5230859811
1390401294973	99.3451716802
1390401294993	100.9244831759
1390401295014	102.2545410949
1390401295034	100.9245641003
1390401295054	99.3428046755
1390401295074	99.0187760792
1390401295094	99.8698449
1390401295114	101.9233840252
1390401295134	100.2061597793
1390401295154	99.2196519985
1390401295175	100.3143281336
1390401295195	101.1850003651
1390401295215	100.6255576587
1390401295235	100.5531859654
1390401295255	101.1266646381
1390401295275	101.2827112279
1390401295295	100.4645953062
1390401295316	99.3217584989
1390401295336	101.2077345508
1390401295356	100.4191150214
