Plain,902,902,841,880,
Ambient Light,841,902,841,860
Bluetooth Low Energy*,782,842,781,800
Magnetic field:,782,782,721,760
Microphone,721,781,782,740
Bluetooth classic,781,721,722,740
Accelerometer:,781,721,661,720
Gyroscope,721,722,721,720
Bluetooth Low Energy**,722,721,661,700
