0 "Video camera"        190		79		2
1 "IEEE 802.11"         200		83		3
2 "GPS (indoor)"        180		75		1
3 Accelerometer         230 	96		6.5
4 Bluetooth             240 	100		8.5
5 Microphone            220 	92		4.5
6 "Magnetic field"      220 	92		4.5
7 "Light Sensor **"     230 	96		6.5
8 Plain                 240 	100		8.5
