0  "Video Camera"               260 
1   "IEEE 802.11"               500
2   "GPS (indoor)"              541
3   "Bluetooth Low Energy**"    700
4   Gyroscope                   720
5   Accelerometer               720
6   "Bluetooth"                 740
7   Microphone                  740
8   "Magnetic field"            760
9   "Bluetooth Low Energy*""    800
10  "Ambient light"             860
11  "All sensors switched off"  880                                      
